CLONE	CBSD3S	CBSD3S.ebv	CBSD3S.wt	CBSD6S	CBSD6S.ebv	CBSD6S.wt	CBSDRS	CBSDRS.ebv	CBSDRS.wt
UG14_1821	-0.190506477	-0.171627616	12.21676185	-0.55238424	-0.498466237	9.35748598	-0.003792636	-0.002257752	2.646932106
UG14_1823	-0.35152515	-0.273380733	6.649068392	-0.624640292	-0.50423198	5.749567459	3.124928697	1.027959792	0.9645876
UG14_1825	0.669964614	0.592255425	11.09605768	0.667451856	0.602317797	9.358780273	1.562202888	0.772280977	1.838327639
UG14_1829	-0.31298502	-0.269094155	9.75085187	-0.704455821	-0.628611791	8.82800388	0.26761786	0.159351947	2.648339833
UG14_1832	0.621313744	0.518016721	8.568580985	0.230357095	0.205459427	8.806959639	1.507730345	0.746783436	1.844696535
UG14_1833	0.268069032	0.242420011	12.46577654	-0.23015785	-0.210527614	10.08019383	-0.661452093	-0.327462986	1.843109719
UG14_1834	-0.12453439	-0.109385967	10.7574766	-0.182579208	-0.155260771	7.058936506	-1.018186726	-0.60622274	2.647847352
UG14_1836	0.654835964	0.492810726	5.983302451	-0.172748992	-0.138746639	5.645054576	0.291432603	0.095924471	0.965393419
UG14_1837	1.097081336	0.887067384	7.618414169	0.05227214	0.044473119	7.073987982	-0.543306579	-0.269066139	1.844260391
UG14_1839	-0.327474866	-0.27613492	8.97270843	-0.031359045	-0.027299684	7.832556239	-1.324871619	-0.788753403	2.647356888
UG14_1840	-0.176377524	-0.160194998	12.76259627	-0.060262973	-0.056155842	11.25071547	0.358071001	0.177287897	1.843462754
UG14_1844	-0.262138599	-0.23785824	12.69555907	-0.5246619	-0.479724974	10.05785391	0.384752367	0.229039621	2.646856184
UG14_1847	0.348515877	0.312645825	11.94756153	-0.176893793	-0.162293151	10.25415891	-0.393254208	-0.194765052	1.844440974
UG14_1848	-0.319263746	-0.262320389	8.091153611	-0.013886519	-0.01165291	6.678342615	-0.473504919	-0.234535964	1.844803464
UG14_1850	-0.218752786	-0.193422573	11.10811732	-0.346122359	-0.31765274	10.27252557	0.469075453	0.232343513	1.844825638
UG14_1851	-0.137994318	-0.120455809	10.44582656	-0.520639304	-0.457146643	8.154109318	-1.209080226	-0.598833367	1.844542286
UG14_1853	-0.315400248	-0.285059044	12.4274771	-0.638853863	-0.588211037	10.4673055	-0.345313807	-0.170955706	1.843154387
UG14_1854	-0.34961237	-0.305417354	10.48413895	-0.595614413	-0.537435406	9.353657242	-0.535420168	-0.318805163	2.648186645
UG14_1856	-0.111393764	-0.101032136	12.66556071	-0.101936228	-0.094402755	10.83377133	-0.130169371	-0.064425467	1.842229343
UG14_1857	-0.431526329	-0.302260081	4.861994513	0.053481087	0.038799682	4.071840993	NA	NA	NA
UG14_1858	-0.332120212	-0.27969634	8.925634255	0.261583725	0.227395061	7.780841561	0.168999674	0.083687934	1.843976154
UG14_1862	-0.145550381	-0.101977086	4.865502817	0.070532905	0.043454413	2.693680596	0.199591955	0.098808069	1.842999176
UG14_1863	-0.300018514	-0.266185339	11.29662765	-0.180457183	-0.163993678	9.720628412	-0.934968216	-0.556644178	2.647532537
UG14_1864	-0.35251869	-0.318765879	12.46082138	-0.487458592	-0.45151043	10.84486012	-0.134623253	-0.080127696	2.645980237
UG14_1867	0.04120138	0.034255881	8.473914832	-0.3918383	-0.32805035	6.615576307	0.180190696	0.107275938	2.647389826
UG14_1868	-0.341537683	-0.284064772	8.485974259	-0.301035887	-0.261612303	7.770118382	0.283677711	0.093367734	0.965331288
UG14_1871	-0.356299904	-0.283168277	7.160979583	-0.941288092	-0.789582378	6.667921576	-0.556134877	-0.183164064	0.966243133
UG14_1874	-0.363455858	-0.330733512	12.895969	-0.329274806	-0.305831555	11.0267867	-0.537097355	-0.265950255	1.8437496
UG14_1875	0.958000881	0.846439676	11.06773698	0.683746213	0.615735817	9.255840796	1.345075211	0.666098387	1.844089788
UG14_1878	-0.258237121	-0.233397202	12.42811798	-0.285728418	-0.263055655	10.4620416	0.245682753	0.121640977	1.843426713
UG14_1879	-0.320691781	-0.272918032	9.32749054	-0.026431688	-0.022990155	7.801197642	-0.209515974	-0.103761954	1.844313411
UG14_1880	-0.269577954	-0.234960959	10.37277604	0.411270803	0.368339366	8.995110406	-0.748731616	-0.24646146	0.965493139
UG14_1881	0.992742895	0.860078247	10.09060298	0.638233599	0.555460785	7.822483682	0.054363241	0.0178962	0.965596218
UG14_1882	-0.343019434	-0.297399851	10.12454729	-0.019206298	-0.01656639	7.51071203	-1.70351597	-0.560765214	0.965531086
